address,balance_sats,total_received_sats,balance_btc
1AUNYAoxhQxfsxpwb1Y1d2QsvnGNdV3VW8,0,0,0.00000000
1HguCc9xCH1NWYhbw9FuHgnPBeM5hrTHGz,0,0,0.00000000
1FT5kXu5Gx1akmjoyrbPf8rw244j94V7kP,0,0,0.00000000
1MFJXPhhPBwnmJiN1CpMjEXgk11NEx7g3q,-1,-1,-0.00000001
1E6NyEwvEb5PDTJGwm1WMukKbwm4tAzHye,-1,-1,-0.00000001
123fUNhmjevcRs4BrAkGNVBGSWNjmHqoky,-1,-1,-0.00000001
1DPFt9yqWDiJYLDYxLEaCLN4sBNJ7od89C,-1,-1,-0.00000001
14PUnVBsSCpNHcZAzyxem34B2p83HAda5s,-1,-1,-0.00000001
1EBu63KqXN7LBYMCT4L7xt484YbFm1PY5S,-1,-1,-0.00000001
1G7e2WtudCd5UB4TvBjf9TUpqgMvf5UAmx,-1,-1,-0.00000001
